"地域コード","都道府県","市区町村","総人口","総人口（男）","総人口（女）","日本人人口","日本人人口（男）","日本人人口（女）","15歳未満人口","15歳未満人口（男）","15歳未満人口（女）","15～64歳人口","15～64歳人口（男）","15～64歳人口（女）","65歳以上人口","65歳以上人口（男）","65歳以上人口（女）","75歳以上人口","75歳以上人口（男）","75歳以上人口（女）","外国人人口","出生数","死亡数","転入者数（日本人移動者）","転出者数（日本人移動者）","世帯数","一般世帯数","一般世帯人員数","核家族世帯数","単独世帯数","65歳以上の世帯員のいる核家族世帯数","高齢夫婦のみの世帯数","高齢単身世帯数（65歳以上の者１人）","婚姻件数","離婚件数","総面積（北方地域及び竹島を除く）","可住地面積","事業所数","事業所数（農業，林業）","事業所数（建設業）","事業所数（製造業）","事業所数（電気・ガス・熱供給・水道業）","事業所数（情報通信業）","事業所数（運輸業，郵便業）","事業所数（卸売業，小売業）","事業所数（金融業，保険業）","事業所数（不動産業，物品賃貸業）","事業所数（学術研究，専門・技術サービス業）","事業所数（宿泊業，飲食サービス業）","事業所数（生活関連サービス業，娯楽業）","事業所数（教育，学習支援業）","事業所数（医療，福祉）","事業所数（複合サービス事業）","事業所数（サービス業（他に分類されないもの））","事業所数（公務（他に分類されるものを除く））","第１次産業事業所数","第２次産業事業所数","第３次産業事業所数","従業者数","従業者数（農業，林業）","従業者数（建設業）","従業者数（製造業）","従業者数（電気・ガス・熱供給・水道業）","従業者数（情報通信業）","従業者数（運輸業，郵便業）","従業者数（卸売業，小売業）","従業者数（金融業，保険業）","従業者数（不動産業，物品賃貸業）","従業者数（学術研究，専門・技術サービス業）","従業者数（宿泊業，飲食サービス業）","従業者数（生活関連サービス業，娯楽業）","従業者数（教育，学習支援業）","従業者数（医療，福祉）","従業者数（複合サービス事業）","従業者数（サービス業（他に分類されないもの））","従業者数（公務（他に分類されるものを除く））","第１次産業従業者数","第２次産業従業者数","第３次産業従業者数","農家数（販売農家）","農家数（自給的農家）","経常収支比率（市町村財政）","実質公債費比率（市町村財政）","歳入決算総額（市町村財政）","地方税（市町村財政）","歳出決算総額（市町村財政）","民生費（市町村財政）","土木費（市町村財政）","教育費（市町村財政）","災害復旧費（市町村財政）","幼稚園数","幼稚園在園者数","小学校数","小学校教員数","小学校児童数","中学校数","中学校教員数","中学校生徒数","高等学校数","高等学校生徒数","就業者数","就業者数（男）","就業者数（女）","完全失業者数","完全失業者数（男）","完全失業者数（女）","非労働力人口","非労働力人口（男）","非労働力人口（女）","第１次産業就業者数","第２次産業就業者数","第３次産業就業者数","公民館数","図書館数","総人口（非水洗化人口＋水洗化人口）","非水洗化人口","小売店数","飲食店数","大型小売店数","一般病院数","一般診療所数","歯科診療所数","医師数","歯科医師数","薬剤師数","保育所等数","保育所等在所児数"
"R01235","北海道","石狩市","57436","27548","29888","57232","27474","29758","7415","3759","3656","32732","16156","16576","17229","unknown","9641","7473","unknown","4570","203","316","627","2039","1949","22632","","欠損値","欠損値","5142","unknown","3879","2498","142","107","72242","21533","2300","17","336","","4","11","178","503","27","54","60","213","","83","203","24","unknown","25","22","554","unknown","27990","245","欠損値","4715","86","154","4794","6017","144","","333","1052","1467","1200","2893","","1127","604","297","7044","20649","333","102","93.2","8.6","27805583","欠損値","27147114","9896032","2923273","2976633","115239","1","53","","243","3130","8","160","1734","2","1853","26136","14772","11364","欠損値","849","397","20616","7128","13488","1258","5889","","3","4","58581","3515","294","欠損値","9","5","欠損値","25","欠損値","34","78","15",""
"R01236","北海道","欠損値","46390","21641","24749","46299","21614","24685","6353","3224","3129","27723","13376","14347","12297","5031","7266","5995","unknown","3839","90","280","527","1565","1669","18508","18432","44897","","4784","4450","2430","2160","欠損値","","39744","9835","1835","16","245","110","","3","76","506","18","55","欠損値","","欠損値","70","156","19","133","unknown","16","欠損値","1459","17754","153","1899","2801","19","4","1620","3936","131","248","264","1055","欠損値","","","241","1024","397","153","4787","12814","欠損値","170","88","5.3","22125546","5131812","21584419","8816794","3098395","1966879","12291","4","413","11","189","欠損値","5","108","1357","3","","21715","11734","9981","1172","678","494","16027","5406","10621","1699","4840","14515","","2","46887","3431","欠損値","131","","0","26","17","25","18","37","9","823"
"R01303","欠損値","当別町","17278","8314","8964","17237","8302","8935","1547","802","","10453","5231","欠損値","5210","2243","","2558","1005","1553","35","48","欠損値","547","722","7327","7314","unknown","4325","unknown","1907","1090","814","45","18","42286","15932","欠損値","","62","24","2","2","13","134","8","unknown","18","78","61","26","54","7","unknown","10","51","87","521","6039","338","437","670","29","4","162","908","","125","80","496","302","679","1002","142","211","390","338","1121","4580","477","79","91.5","12.4","","2060470","","2403007","1258983","662223","0","unknown","0","2","欠損値","578","2","35","362","unknown","359","8131","4591","3540","unknown","欠損値","168","6704","","4332","1258","1500","5220","1","欠損値","16434","1617","106","55","0","1","13","","23","123","69","2","150"
"R01304","unknown","新篠津村","3329","1604","1725","3328","1604","1724","357","182","175","1872","980","892","1100","442","658","627","","403","1","20","59","98","欠損値","1070","1057","2888","588","248","欠損値","欠損値","113","8","3","7804","7589","欠損値","24","7","5","0","0","4","18","3","0","1","11","欠損値","3","","欠損値","9","6","24","12","84","1305","178","","26","0","0","24","","6","0","4","54","54","181","299","99","28","80","178","","949","","0","unknown","4.9","3334500","323676","3272466","622047","528046","273377","0","0","0","1","14","130","1","欠損値","64","0","0","1569","848","721","22","15","unknown","1303","523","780","674","110","651","0","0","欠損値","52","unknown","5","0","0","","1","2","3","0","0","0"
"R01331","unknown","松前町","7337","3283","4054","7306","3280","4026","欠損値","280","262","3421","1644","unknown","3372","1357","2015","欠損値","欠損値","1121","31","","178","212","345","3571","3561","7107","1862","1364","1154","欠損値","821","14","14","29325","2363","415","4","46","28","1","0","4","130","欠損値","12","5","40","","欠損値","24","12","28","15","4","74","337","2756","unknown","236","714","6","0","60","502","39","unknown","","155","103","unknown","","","","194","46","950","1760","23","167","","欠損値","6278758","552737","6141285","","448932","880228","0","0","0","unknown","29","191","1","20","130","1","67","3251","1704","1547","130","97","33","3407","1197","2210","362","1088","1799","1","1","7572","6024","109","26","0","unknown","3","4","欠損値","4","11","2","69"
"R01332","北海道","欠損値","4422","2047","2375","欠損値","2042","2350","331","150","181","2238","unknown","欠損値","1853","770","1083","994","unknown","615","30","unknown","unknown","105","170","","2036","4350","1134","677","657","385","386","15","5","unknown","1641","290","3","30","27","2","2","6","70","4","unknown","3","29","","12","14","7","27","9","欠損値","57","227","1834","64","","421","21","4","28","266","13","20","5","88","65","欠損値","欠損値","47","144","欠損値","79","","1053","17","30","89.7","9.8","4373005","unknown","4258264","654248","491008","342334","0","1","8","2","22","97","1","","70","1","50","1886","1017","869","","138","欠損値","2049","742","1307","271","729","882","0","0","4264","3212","61","21","","0","","2","2","2","0","1","39"
"R01333","欠損値","知内町","4653","2306","2347","4649","2305","2344","508","262","246","欠損値","1376","1177","1592","668","924","欠損値","310","514","4","13","75","143","187","2003","1998","4542","1081","664","555","330","266","14","5","19675","3113","213","4","30","19","2","1","2","","2","6","5","30","20","14","欠損値","6","16","7","8","50","155","1702","46","306","unknown","","5","28","178","18","unknown","20","104","unknown","90","89","41","98","unknown","83","717","902","150","45","88.3","12.8","5000853","731679","4891590","829302","403142","925018","54250","1","21","欠損値","29","179","","unknown","106","1","176","unknown","1395","1046","98","79","19","1606","570","1036","636","698","1088","2","0","4390","1369","28","18","0","0","5","2","unknown","unknown","1","2","81"
"R01334","北海道","木古内町","欠損値","2150","2397","4527","2149","2378","307","147","160","2236","1192","unknown","2004","811","1193","unknown","425","692","20","10","89","104","135","2140","2135","4394","1100","829","unknown","386","449","10","7","22187","unknown","unknown","5","36","14","2","1","8","68","","10","7","34","33","5","19","5","","","5","50","228","1808","26","260","109","8","2","197","369","24","17","11","","68","54","342","23","","113","","369","欠損値","43","49","unknown","7.4","4077898","532155","4027612","","720653","290472","0","0","unknown","1","13","118","1","11","72","0","欠損値","2057","1201","856","116","87","29","2067","715","1352","211","589","1257","1","0","4321","2456","59","25","","1","4","1","9","2","欠損値","欠損値","74"
"R01337","北海道","七飯町","28120","12820","15300","28087","12809","15278","欠損値","1711","1673","15672","7373","8299","9058","3733","5325","欠損値","1681","2956","32","欠損値","375","1027","1075","11141","11090","26774","7194","2787","3094","1761","1543","99","52","21675","unknown","937","11","欠損値","unknown","6","4","欠損値","unknown","12","22","21","unknown","84","42","106","10","86","13","11","188","738","8345","91","796","1021","88","20","620","1199","36","122","72","967","unknown","","1694","112","369","258","欠損値","1817","6437","334","44","94.6","9.8","13492322","2974893","13089049","3705039","2256492","2115891","11538","2","280","8","unknown","1373","4","77","unknown","1","342","欠損値","6653","5783","764","","欠損値","11154","3777","7377","欠損値","unknown","8354","3","0","unknown","8659","141","73","3","2","19","欠損値","38","11","28","","349"
"R01343","北海道","","欠損値","2053","2173","4161","2052","2109","423","欠損値","209","2285","1145","1140","1518","694","824","634","287","347","65","欠損値","54","108","140","1660","1653","","926","488","498","339","欠損値","14","8","","2133","166","2","23","19","2","0","4","44","1","0","0","19","21","unknown","unknown","3","unknown","5","2","42","122","1279","14","欠損値","321","12","0","34","190","6","","0","unknown","91","58","欠損値","29","38","86","14","466","799","1","19","96.2","4.5","3172883","441384","3103494","526864","218343","330007","0","1","68","1","18","unknown","1","14","86","","","2015","1112","903","93","59","34","1695","668","1027","790","欠損値","761","1","0","unknown","3089","36","12","0","0","","unknown","3","1","4","0","0"
"R01345","北海道","森町","15946","7324","8622","15757","7316","8441","1795","928","欠損値","8625","","","5526","2239","3287","2788","1029","1759","","","238","欠損値","欠損値","6628","6612","15462","3619","2112","1813","979","1067","44","","unknown","9003","936","21","95","111","","1","32","215","14","31","21","108","93","31","63","14","66","12","23","208","705","6887","166","","1731","12","1","348","1095","151","48","69","484","319","274","826","114","342","264","173","2367","4347","172","66","95.2","14.2","unknown","1770646","16128790","3246471","","969651","0","2","91","8","80","667","2","40","422","1","unknown","7841","4217","3624","390","","129","5905","1912","3993","1825","2266","3711","2","1","unknown","8548","172","80","0","2","9","6","18","5","17","2","142"
"R01346","北海道","八雲町","17252","8401","8851","17162","","unknown","1967","1011","956","9895","5105","4790","5369","2273","3096","2789","1059","1730","87","106","257","unknown","852","7523","7495","16423","4005","2770","1794","1036","1113","74","26","95608","17811","985","29","110","62","","2","22","228","unknown","44","29","138","90","30","55","16","84","25","32","unknown","","7475","396","748","unknown","66","2","267","1139","117","114","149","557","239","369","unknown","170","418","540","","1568","","197","","86.2","9.1","14661710","2009448","14153398","2682686","1592029","882020","7281","1","65","8","76","706","4","62","397","1","294","欠損値","4899","3672","327","230","unknown","6264","2181","4083","1773","1625","5132","1","1","","4237","191","","1","3","6","7","29","10","27","5","252"
